anime_id,name,genre,type,episodes,rating,members,rating_10,rating_100,rating_1000
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,8.78,122.600561317959,878
6758,Tatakau Shisho: The Book of Bantorra,"Action, Fantasy, Seinen, Super Power",TV,27,7.36,35520,7.36,100.620870630133,736
550,Yu☆Gi☆Oh!,"Action, Comedy, Fantasy, Game, Shounen",TV,27,7.29,89243,7.29,95.9939109869385,729
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Fantasy, Magic, Romance",TV,27,7.25,16288,7.25,105.859962435424,725
230,Air Master,"Action, Comedy, Martial Arts, Seinen",TV,27,7.14,22433,7.14,95.6801963470294,714
673,Mai-HiME Specials,Comedy,Special,27,7.06,9210,7.06,98.1460595128659,706
6087,Jetter Mars,"Action, Drama, Mecha, Sci-Fi",TV,27,6.75,382,6.75,91.3060898868933,675
1062,Nekojiru Gekijou Jirujiru Original,"Action, Comedy",TV,27,6.67,6303,6.67,88.7051073971572,667
2718,Umi no Triton,"Adventure, Fantasy, Shounen",TV,27,6.59,709,6.59,96.3706052400728,659
5265,Mega Man,"Action, Adventure, Comedy",TV,27,6.52,3263,6.52,92.3344403706344,652
17671,Animal 1,Sports,TV,27,6.71,122,6.71,88.3683453890039,671
6520,Anime TV de Hakken! Tamagotchi,"Comedy, Fantasy, Kids, Slice of Life",TV,27,6.32,300,6.32,88.8814142868579,632
22441,Hello Kitty: Ringo no Mori to Parallel Town,"Comedy, Fantasy, Kids",TV,27,6.38,115,6.38,94.1902943811881,638
11857,Judo Sanka,"Shounen, Sports",TV,27,6.68,128,6.68,88.3043299545799,668
21483,Sanchoume no Yuuhi,"Comedy, Slice of Life",TV,27,7.33,72,7.33,100.290508921402,733
